Värit,Colors,Kuukaudet,Months,Eläimet,Animals
,,,,,
beige,beige,tammikuu,January,ahma,wolverine
fuksia,fuchsia,helmikuu,February,apina,monkey
harmaa,grey,maaliskuu,March,delfiini,dolphin
hopea,silver,huhtikuu,April,dromedaari,dromedary
keltainen,yellow,toukokuu,May,fretti,ferret
khaki,khaki,kesäkuu,June,gepardi,cheetah
kulta,gold,heinäkuu,July,gorilla,gorilla
liila,lilac,elokuu,August,haisunäätä,skunk
musta,black,syyskuu,September,hamsteri,hamster
oranssi,orange,lokakuu,October,hevonen,horse
pinkki,pink,marraskuu,November,hiiri,mouse
punainen,red,joulukuu,December,hirvi,moose
ruskea,brown,,,hylje,seal
sininen,blue,,,härkä,ox
turkoosi,turquoise,,,ihminen,human
valkoinen,white,,,ilves,lynx
vihreä,green,,,jaguaari,jaguar
violetti,purple,,,jänis,rabbit
,,,,karhu,bear
,,,,karitsa,lamb
,,,,karja,cattle
,,,,karju,boar
,,,,kettu,fox
,,,,kirahvi,giraffe
,,,,kissa,cat
,,,,koala,koala
,,,,kojootti,coyote
,,,,kuusipeura,fallow deer
,,,,lammas,sheep
,,,,lehmä,cow
,,,,leijona,lion
,,,,leopardi,leopard
,,,,lepakko,bat
,,,,liito-orava,flying squirrel
,,,,majava,beaver
,,,,marsu,guinea pig
,,,,metsäkauris,roe deer
,,,,mursu,walrus
,,,,myyrä,mole
,,,,mäyrä,badger
,,,,naali,arctic fox
,,,,norsu,elephant
,,,,näätä,marten
,,,,orava,squirrel
,,,,ori,stallion
,,,,panda,panda
,,,,peura,caribou
,,,,poro,reindeer
,,,,pukki,billy goat
,,,,saksanhirvi,red deer
,,,,sarvikuono,rhino
,,,,saukko,otter
,,,,siili,hedgehog
,,,,sika,pig
,,,,sonni,bull
,,,,supikoira,raccoon dog
,,,,susi,wolf
,,,,tamma,mare
,,,,tiikeri,tiger
,,,,valas,whale
,,,,varsa,foal
,,,,vasikka,calf
,,,,visentti,bison
,,,,vuohi,goat
,,,,akvaariokala,aquarium fish
,,,,gerbiili,gerbil
,,,,hamsteri,hamster
,,,,hiiri,mouse
,,,,hämähäkki,spider
,,,,kanarialintu,canary
,,,,kani,rabbit
,,,,kilpikonna,turtle
,,,,kissa,cat
,,,,koira,dog
,,,,kultakala,goldfish
,,,,käärme,snake
,,,,marsu,guinea pig
,,,,lisko,lizard
,,,,papukaija,parrot
,,,,rotta,rat